#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:35:40Z,28.637499999999996,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:35:50Z,28.599999999999998,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:36:00Z,28.657142857142855,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:36:10Z,28.7875,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:36:20Z,29.149999999999995,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:36:30Z,29.2875,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:36:40Z,29.47142857142857,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:36:50Z,29.5125,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:37:00Z,29.387500000000006,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:37:10Z,29.166666666666668,Temperature1,room1

