temp1,temp2,hum1,press2,label
21.8,23.29,51.6,98507.408,-1
21.974999999999998,23.384999999999998,58.425000000000004,98507.6075,-1
23.085714285714285,26.099999999999998,77.05714285714286,98505.09857142856,-1
25.037499999999998,28.297500000000003,97.8875,98502.46250000001,-1
27.275000000000002,29.06375,100,98502.85875000001,-1
28.6625,29.4425,100,98501.33374999999,-1
28.400000000000002,29.677142857142858,100,98498.45571428572,-1
28.174999999999997,29.467499999999998,100,98496.90000000001,-1
27.9875,29.41375,100,98497.07625000001,-1
27.837500000000002,28.935000000000002,98.125,98494.61499999999,-1
27.599999999999998,28.364285714285717,90.58571428571429,98494.08857142857,-1
27.350000000000005,27.913750000000004,81.98750000000001,98494.78625,-1
27.15,27.4625,69.9125,98492.8225,-1
26.937500000000004,27.089999999999996,70.35,98497.48375,-1
26.928571428571427,27.150000000000002,77.91428571428571,98498.87857142858,-1
27.049999999999997,27.4675,83.24999999999999,98498.7875,-1
27.225000000000005,27.25375,82.35,98501.0875,-1
27.400000000000002,27.082499999999996,80.5875,98502.52375,-1
27.5,27.1,70.67142857142858,98500.69428571429,-1
27.54285714285714,27.59625,73.25,98501.52124999999,-1
27.662499999999998,28.248749999999998,79.5875,98502.98875,-1
27.714285714285715,28.628571428571426,75.37142857142858,98504.42285714285,-1
27.887500000000003,29.6225,81.73750000000001,98497.4825,-1
28.212500000000006,30.2175,88.8125,98500.04375000001,-1
28.5125,30.320000000000004,91.62499999999999,98504.58625000001,-1
28.742857142857144,30.284285714285716,89.1857142857143,98501.20142857144,-1
28.85,30.2225,86.3125,98503.55750000002,-1
28.900000000000002,30.251250000000002,84.53750000000001,98507.14374999999,-1
28.9625,30.14625,84.92499999999998,98505.19875,-1
29,30.028571428571432,84.98571428571428,98503.70571428571,-1
29.062499999999996,30.049999999999997,84.2375,98502.95999999999,-1
29.0875,29.995,84.99999999999999,98501.495,-1
29.025,29.892499999999995,82.4625,98502.03749999999,-1
28.975,29.607499999999998,75.19999999999999,98500.765,-1
28.828571428571426,29.389999999999997,72.91428571428573,98491.28571428571,-1
28.65,29.165,73.25,98504.39625,-1
28.55,29.295,76.7875,98503.3,-1
28.312499999999996,29.323749999999997,77.58749999999999,98503.66125,-1
28.128571428571426,29.375714285714288,77.48571428571428,98502.04571428572,-1
28.099999999999998,29.2225,76.5875,98506.16124999999,-1
28.212500000000002,29.028750000000002,80.08749999999999,98502.345,-1
28.499999999999996,28.58857142857143,87.85714285714286,98501.16285714286,-1
28.637499999999996,28.8375,87.4125,98505.48874999999,-1
28.599999999999998,28.59625,75.77499999999999,98502.21624999998,-1
28.657142857142855,28.631428571428568,77.85714285714286,98497.06285714285,-1
28.7875,29.079999999999995,84.8625,98496.40125,-1
29.149999999999995,29.404999999999998,95.5375,98489.41625,-1
29.2875,29.70375,95.33749999999999,98489.3625,-1
29.47142857142857,29.725714285714282,96.45714285714287,98485.33142857142,-1
29.5125,29.974999999999998,94.50000000000001,98490.33125,-1
29.387500000000006,29.53875,86.5125,98504.53125,-1
29.166666666666668,29.013333333333335,67.63333333333334,98502.85333333333,-1
