#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:28:40Z,51.6,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:28:50Z,58.425000000000004,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:29:00Z,77.05714285714286,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:29:10Z,97.8875,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:29:20Z,100,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:29:30Z,100,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:29:40Z,100,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:29:50Z,100,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:30:00Z,100,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:30:10Z,98.125,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:30:20Z,90.58571428571429,Humidity1,room1
,,0,2024-12-16T20:23:20.7838351Z,2024-12-16T20:38:20.7838351Z,2024-12-16T20:30:30Z,81.98750000000001,Humidity1,room1
