#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:16:50Z,22.818571428571428,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:17:00Z,22.8575,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:17:10Z,22.865714285714287,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:17:20Z,22.8625,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:17:30Z,22.865,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:17:40Z,22.8475,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:17:50Z,22.80857142857143,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:18:00Z,22.78625,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:18:10Z,22.755000000000003,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:18:20Z,22.7425,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:18:30Z,22.752499999999998,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:18:40Z,22.74857142857143,Temperature2,room2
,,0,2024-12-16T19:10:07.2223097Z,2024-12-16T19:25:07.2223097Z,2024-12-16T19:18:50Z,22.74125,Temperature2,room2
